Latitude,Longitude,UVA,UVB
34.062757,-118.448447,413.969,350.009
34.062237,-118.448911,437.569,333.633
34.062123,-118.448951,541.019,330.745
34.06182,-118.448663,360.069,304.753
34.062208,-118.448915,502.519,329.301
34.061868,-118.44864,350.444,310.529
34.062183,-118.448924,508.294,327.857
34.062084,-118.448975,316.069,333.633
34.0619,-118.448681,369.694,307.641
34.062152,-118.448938,453.569,327.857
34.062263,-118.448926,539.094,329.301
34.062753,-118.449421,167.569,303.309
34.06257,-118.449222,352.369,319.193
34.061777,-118.448633,583.369,332.189
34.062307,-118.448966,423.594,293.201
34.062531,-118.449204,81.444,293.201
34.062668,-118.44931,92.444,319.193
34.062713,-118.449367,93.129,310.529
