latitude,longitude,UVA,UVB
34.064262,-118.451638,346.594,353.121
34.064261,-118.451507,349.119,447.453
34.064273,-118.451818,346.594,567.561
34.064256,-118.45174,338.894,558.897
34.064294,-118.451853,167.569,554.565
34.064261,-118.451781,356.219,554.565
34.064308,-118.451883,156.019,553.121
34.064309,-118.451917,354.294,558.897
34.06424,-118.451375,177.194,551.677
34.064264,-118.451583,217.619,570.449
34.064258,-118.451693,338.915,551.677
34.064245,-118.451422,247.546,550.233
34.064252,-118.451466,117.194,567.561
